title,percentage of dislike
"小孟老師：王力宏前世是李靚蕾的小三
",78.0
"只有我現在開始相信王力宏與王爸媽嗎???
",85.0
"只有我覺得王力宏遇到恐怖情人嗎
",78.0
"李靚蕾16歲約炮上位 罵王約炮? 兩性平權?
",85.0
"王力宏都離婚了 女方一直糾纏是怎樣?
",82.0
"召妓又約炮!王力宏私生活淫亂 唐綺陽不忍了
",69.0
"公投已死，民主送終
",77.0
"王家出手！王力宏父親揭李靚蕾設計懷孕威
",67.0
"只有我覺得整齣戲挺智障的嗎？
",83.0
"只有我覺得王力宏事件很無聊嗎 @@
",83.0
"李靚蕾回覆王爸爸
",75.0
"少400萬為什麼還很爽？
",67.0
"「被切割、一夕爆落」！唐綺陽預言僅13天
",89.0
"李靚蕾爆王力宏給4億豪宅命令她收回指控
",70.0
"三接供應足夠天然氣 學者：減空污、不缺電
",68.0
"會說八卦失準的是不是智障？
",67.0
"給南部人決定台灣的未來？
",71.0
"快訊／國民黨中常委：小英817萬票腰
",67.0
"以後斷電可以先斷南部的嗎
",74.0
"蠢蛋進化論正在臺灣上演？
",79.0
"這次是不是印證了台灣人根本不在乎食安
",67.0
"讓年輕人做決定真的好嗎？
",68.0
"批民進黨「扭曲造假有成效」　民眾黨：新
",70.0
"台灣人是不是不配擁有民主
",78.0
"笑死XD 今天是不是八卦版最可笑的一天
",73.0
"「不喜歡蔡英文、討厭民進黨沒關係」蔡英
",79.0
"王力宏遭爆男女床戰！唐綺陽早「神預言」
",81.0
"中天游淑慧爆料 南港有票先蓋好不同意
",76.0
"唐綺陽怒王力宏：居然這麼噁！心疼
",79.0
"台灣基進黨主席陳奕齊：投不同意
",90.0
"只有我覺得王力宏遇到恐怖情人嗎
",77.0
"你們有什麼資格對王力宏說三道四指手畫腳
",82.0
"「不喜歡蔡英文、討厭民進黨沒關係」蔡英
",79.0
"蔡英文號召「台灣隊投票回報」　IG限動「
",77.0
"同性婚姻公投沒過 現在是...？
",94.0
"王力宏遭控私生活亂　網紅道歉人妻紛響
",79.0
"快訊／蔡英文投完「四個不同意」：攸關台
",78.0
"李靚蕾是恐怖情人吧！
",83.0
"催票「4個不同意」　林靜儀：難道817萬
",80.0
"公投之夜》蔡英文:不要為想教訓誰 害到台
",77.0
"李靚蕾是恐怖情人吧！
",84.0
"蔡阿嘎邀蔡英文上節目 大膽開嗆「需不需
",87.0
"林昶佐：公投四個不同意 罷免惡戰到我為
",82.0
